pre_process_speed, inference_speed, post_process_speed, man_down_speed, deep_sort_speed,CPU_utilization_rate, CPU_temperature, CPU_power_consumption, GPU_memory_used, GPU_utilization_rate, GPU_temperature, GPU_power_consumption
0.7524490356445312, 328.5560607910156, 1.0690689086914062, 0.32901763916015625, 151.48401260375977, 100.0, 63.7,0.0,0.0,0.0,0.0,0.0,0.0
0.6661415100097656, 315.54245948791504, 1.0714530944824219, 0.34356117248535156, 158.02550315856934, 100.0, 63.8,0.0,0.0,0.0,0.0,0.0,0.0
0.7669925689697266, 318.7382221221924, 1.0542869567871094, 0.35309791564941406, 156.84127807617188, 100.0, 63.8,0.0,0.0,0.0,0.0,0.0,0.0
0.7481575012207031, 320.24431228637695, 1.0607242584228516, 0.3662109375, 155.38740158081055, 100.0, 64.2,0.0,0.0,0.0,0.0,0.0,0.0
0.614166259765625, 315.3705596923828, 1.0607242584228516, 0.3197193145751953, 112.03312873840332, 100.0, 64.5,0.0,0.0,0.0,0.0,0.0,0.0
0.8552074432373047, 324.9795436859131, 1.0921955108642578, 0.3383159637451172, 152.3900032043457, 100.0, 64.2,0.0,0.0,0.0,0.0,0.0,0.0
0.6518363952636719, 326.47252082824707, 1.0409355163574219, 0.3552436828613281, 164.12901878356934, 100.0, 64.4,0.0,0.0,0.0,0.0,0.0,0.0
0.629425048828125, 325.8340358734131, 1.0325908660888672, 0.3407001495361328, 162.1072292327881, 100.0, 64.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4909038543701172, 342.99445152282715, 1.0368824005126953, 0.354766845703125, 231.80913925170898, 100.0, 63.2,0.0,0.0,0.0,0.0,0.0,0.0
0.7190704345703125, 306.9953918457031, 1.0576248168945312, 0.3256797790527344, 201.5821933746338, 100.0, 65.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5946159362792969, 308.49218368530273, 1.0306835174560547, 0.3573894500732422, 200.6990909576416, 100.0, 65.4,0.0,0.0,0.0,0.0,0.0,0.0
0.6775856018066406, 306.42175674438477, 1.0530948638916016, 0.3592967987060547, 189.1307830810547, 100.0, 65.5,0.0,0.0,0.0,0.0,0.0,0.0
0.6639957427978516, 310.41741371154785, 1.041412353515625, 0.3273487091064453, 201.95341110229492, 100.0, 65.6,0.0,0.0,0.0,0.0,0.0,0.0
0.7193088531494141, 307.37948417663574, 1.0159015655517578, 0.3399848937988281, 156.92806243896484, 100.0, 65.5,0.0,0.0,0.0,0.0,0.0,0.0
0.48351287841796875, 318.73512268066406, 1.0709762573242188, 0.33283233642578125, 149.7802734375, 100.0, 65.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7638931274414062, 313.4171962738037, 1.081705093383789, 0.34999847412109375, 158.7979793548584, 100.0, 65.2,0.0,0.0,0.0,0.0,0.0,0.0
0.7114410400390625, 318.76468658447266, 1.046895980834961, 0.3383159637451172, 158.88428688049316, 100.0, 66.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6744861602783203, 319.6578025817871, 1.0631084442138672, 0.3407001495361328, 155.2731990814209, 100.0, 66.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7843971252441406, 318.50552558898926, 1.0600090026855469, 0.3399848937988281, 155.68017959594727, 100.0, 65.5,0.0,0.0,0.0,0.0,0.0,0.0
0.7259845733642578, 317.17467308044434, 1.0564327239990234, 0.339508056640625, 153.29408645629883, 100.0, 65.8,0.0,0.0,0.0,0.0,0.0,0.0
0.69427490234375, 317.7940845489502, 1.0554790496826172, 0.32019615173339844, 154.74820137023926, 100.0, 66.1,0.0,0.0,0.0,0.0,0.0,0.0
0.6568431854248047, 331.8474292755127, 1.0347366333007812, 0.3485679626464844, 199.29862022399902, 100.0, 66.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6172657012939453, 309.27062034606934, 1.0352134704589844, 0.35881996154785156, 200.0281810760498, 100.0, 66.5,0.0,0.0,0.0,0.0,0.0,0.0
0.7562637329101562, 307.4951171875, 1.0800361633300781, 0.34928321838378906, 201.95245742797852, 100.0, 66.5,0.0,0.0,0.0,0.0,0.0,0.0
0.4863739013671875, 309.7507953643799, 1.0480880737304688, 0.3426074981689453, 170.76349258422852, 100.0, 66.3,0.0,0.0,0.0,0.0,0.0,0.0
0.6659030914306641, 323.2998847961426, 1.0578632354736328, 0.3161430358886719, 112.98584938049316, 100.0, 66.6,0.0,0.0,0.0,0.0,0.0,0.0
0.7824897766113281, 335.1023197174072, 1.0576248168945312, 0.32973289489746094, 150.2389907836914, 100.0, 66.6,0.0,0.0,0.0,0.0,0.0,0.0
0.8718967437744141, 324.39541816711426, 1.0631084442138672, 0.3204345703125, 154.56843376159668, 100.0, 66.4,0.0,0.0,0.0,0.0,0.0,0.0
